Rank,Handle,Codeforces_Handle,Codeforces_Rating,GFG_Handle,GFG_Contest_Score,GFG_Practice_Score,Leetcode_Handle,Leetcode_Rating,Codechef_Handle,Codechef_Rating,HackerRank_Handle,HackerRank_Practice_Score,Percentile
395,21r01a67h7,21r01a67h7_aashreetha,347,21r01a67h7aashreetha,30,0,21r01a67h7,0,aashreetha,1261,21r01a67h7,22,17.11%
396,21r01a0493,cmrit25_21r01a0493,0,21r01a0493,20,0,21r01a0493,1439,nand21r01a0493,997,21r01a0493,116,17.08%
397,21r01a05h7,cmrit25_21r01a05h7,708,21r01aezhm,29,6,21r01a05h7,0,sharanya34,0,21r01a05h7,25,16.97%
398,21r01a0428,cmrit_21r01a0428,0,21r01a0428,10,0,21r01a0428,1443,prasad428,1199,21r01a0428,20,16.9%
399,21r01a0416,cmrit25_21r01a0416,357,shashank416,10,19,shashankgurram03,0,gshashank416,1254,21r01a0416,32,16.8%
400,21r01a05f5,navaneeth5f5,413,21r01acqbq,0,8,navaneeth1103,0,navaneeth1103,1247,kalavalanavanee1,0,16.79%
401,21r01a0546,21r01a0546,0,sreejanarala,20,0,21r01a0546,1468,sree21r01a0546,1043,21r01a0546,35,16.76%
402,21r01a0589,cmrit25_21r01a0589,360,21r01ayusu,0,5,21r01a0589,0,anuh21r01a0589,1284,21r01a0589,90,16.68%
403,21r01a05l4,cmrit_21r01a05l4,385,,0,0,cmrit_harish5628,1409,cmrit_harish5628,0,21r01a05l4,8,16.65%
404,21r01a67e5,rashmitha54,787,,0,0,,0,,0,,0,16.65%
405,21r01a04r3,cmrit25_21r01a04r3,420,,0,0,21r01a04r3,0,d21r01a04r3,1172,21r01a04r3,40,16.63%
406,21r01a05k2,tejaa89,786,,0,0,,0,,0,21r01a05k2,0,16.63%
407,21r01a6776,,0,21r01a6776,0,9,21r01a6776,1303,rajesh6776,1133,21r01a6776,149,16.59%
408,22r05a6701,22r05a6701,356,22r05a7tt4,10,0,srinith_3,0,srinithreddy3,1280,srinith_3,44,16.54%
409,22r05a7202,cmrit25-22r05a7202,349,22r05a7202,0,0,kanakalaxmi,1409,22r05a7202,0,22r05a7202,69,16.48%
410,22r05a0502,22r05a0502,654,22r05a0502,30,22,22r05a0502,0,22r05a0502,0,22r05a0502,40,16.46%
411,21r01a66h6,cmrit25_21r01a66h6,374,anshitha_pallem,0,0,anshi_pallem,0,anshi_pallem,1132,21r01a66h6,148,16.44%
412,21r01a67a2,,0,,0,0,21r01a67a2,1396,cmr_21r01a67a2,1215,21r01a67a2,45,16.42%
413,21r01a05l6,cmrit_21r01a05l6,0,21r01a05l6,0,4,21r01a05l6,1381,ranjith_20,1143,21r01a05l6,90,16.42%
414,21r01a05b7,cmrit25_21r01a05b7,361,21r01a05b7,0,24,21r01a05b7,0,ramya_b7,943,21r01a05b7,224,16.37%
415,21r01a6675,21r01a6675,0,21r01ae7gl,0,5,21r01a6675,1439,varsha_146,1120,21r01a6675,55,16.31%
416,21r01a04p1,cmrit25_21r01a04p1,0,21r01a04p1,0,0,21r01a04p1,1505,s21r01a04p1,1011,21r01a04p1,93,16.25%
417,22r05a0411,cmrit25_22r05a0411,342,22r05a0411,0,0,22r05a0411,1434,22r05a0411,0,22r05a0411,40,16.2%
418,21r01a05k0,21r01a05k0,706,21r01a05k0,20,0,cmr_21r01a05k0,0,cmr_21r01a05k0,0,21r01a05k0,0,16.03%
419,21r01a6627,,0,nikhitha_2604,0,2,nikhitha_2604,1431,nikhitha_2604,1179,nikhitha2604@gmail.com,0,16.02%
420,21r01a7263,gaurav_saiteja,0,,0,0,gaurav_saiteja,1379,gaurav_saiteja,1210,gaurav_saiteja,0,15.85%
421,21r01a67b8,21r01a67b8,0,21r01a67b8,0,0,21r01a67b8,1419,cmr_21r01a67b8,1169,21r01a67b8,0,15.83%
422,21r01a0567,21r01a0567,413,21r01abk04,0,14,21r01a0567,0,saiteja567,1068,anumalasaiteja21r01a0567,0,15.83%
423,21r01a04h4,cmrit25_21r01a04h4,372,21r01a04h4,30,7,21r01a04h4,0,pavan_h4,963,21r01a04h4,5,15.8%
424,21r01a05h4,21r01a05h4,357,21r01aqj42,0,10,21r01a05h4,0,mallika1321,1175,21r01a05h4,50,15.69%
425,21r01a7215,dhansai,0,dhanswfst,0,0,dhansaib6,1393,dhansaib6,1140,dhansaib6,18,15.67%
426,21r01a67f9,,0,21r01a67f9,83,0,21r01a67f9,0,karthikf9,1128,21r01a67f9,422,15.67%
427,21r01a6746,cmrit25_21r01a6746,363,21r01a6746,0,4,21r01a6746,0,p21r01a6746,1214,21r01a6746,24,15.65%
428,21r01a05a5,cmrit25_21r01a05a5,361,muddasaniramya,18,0,ramyamuddasani,0,ramyamuddasani,953,21r01a05a5,104,15.6%
429,21r01a0553,srijaseepathi07,0,21r01a0553,0,0,srijaseepathi07,1504,srijaseepathi,993,srijaseepathi07,37,15.59%
430,21r01a05j0,cmrit25_21r01a05j0,362,21r01a05j0,0,15,21r01a05j0,0,sr21r01a05j0,1061,21r01a05j0,85,15.55%
431,21r01a0498,cmrit25_21r01a0498,393,21r01a0498,0,0,21r01a0498,0,samatha_498,989,21r01a0498,104,15.53%
432,21r01a05c9,cmrit25_21r01a05c9,358,21r01ab981,0,12,21r01a05c9,0,hamsika5c9,991,21r01a05c9,140,15.47%
433,22r05a0404,cmrit25_22r05a0404,357,22r05a0404,0,0,22r05a0404,0,chandu404,1170,22r05a0404,57,15.45%
434,21r01a6743,cmrit25_21r01a6743,354,nethaji_43,0,0,nethaji_43,0,nethaji_43,1267,nethaji_43,0,15.45%
435,22r05a7203,cmrit25_22r05a7203,0,@22r05a7203,0,0,shravansanjay,1481,shravansanjay,1017,22r05a7203,20,15.44%
436,21r01a05k7,cmrit25_21r01a05k7,368,21r01a05k7,0,9,21r01a05k7,0,cmrit5k7,986,21r01a05k7,121,15.39%
437,21r01a04b5,cmrit25_21r01a04b5,350,21r01a04b5,0,11,21r01a04b5,0,cmr_21r01a04b5,921,21r01a04b5,191,15.33%
438,21r01a0420,21r01a0420,350,21r01a0420,0,0,21r01a0420,0,cmr_21r01a0420,1216,21r01a0420,25,15.28%
439,21r01a6625,,0,,0,0,21r01a6625,1459,chakradar09,1043,,0,15.28%
440,21r01a0562,21r01a0562,396,21r01a0562,0,0,vedanthkankan,0,vedanthkankan,1037,21r01a0562,35,15.23%
441,21r01a04a0,cmrit25_21r01a04a0,369,21r01aoras,9,0,tharun4a0,0,thar21r01a04a0,1005,21r01a04a0,55,15.14%
442,21r01a04p6,cmrit25_21r01a04p6,354,,0,0,21r01a04p6,0,cmr_21r01a04p6,1133,21r01a04p6,55,15.13%
443,21r01a66g4,cmrit25_21r01a66g4,364,21r01a66g4,0,36,navya_66g4,0,navya66g4,838,21r01a66g4,120,15.1%
444,21r01a0461,cmr_21r01a0461,0,cmr_21r01a0461,0,0,cmr_21r01a0461,1455,cmr_21r01a0461,853,cmr_21r01a0461,102,15.05%
445,21r01a04e3,cmrit_2521r01a04e3,368,21r01ay9hv,10,0,anilkumar_4e3,0,anilkumar4e3,1007,21r01a04e3,40,15.04%
446,21r01a0492,cmrit25_21r01a0492,0,21r01amicz,0,0,21r01a0492,1410,kube21r01a0492,895,21r01a0492,99,15.01%
447,21r01a05m2,cmrit25_21r01a05m2,355,21r01an1s6,0,17,21r01a05m2,0,r01a05m2,1042,21r01a05m2,50,15%
448,21r01a04d3,21r01a04d3,0,,0,0,jhansi2k23,1388,jhansi2k23,966,21r01a04d3,62,14.97%
449,21r01a05k3,cmrit25_21r01a05k3,359,21r01a05k3,0,19,21r01a05k3,0,ruthvik5k3,1055,21r01a05k3,20,14.93%
450,21r01a04l3,cmrit25_21r01a04l3,693,,0,0,,0,vamhi56,0,21r01a04l3,25,14.9%
451,21r01a6774,cmrit25_21r01a6774,356,21r01a6774,0,0,,0,r01a6774,1168,,0,14.87%
452,21r01a04c9,cmrit25_21r01a04c9,381,21r01a04c9,0,0,surya_21r01a04c9,0,surya_04c9,1070,21r01a04c9,5,14.83%
453,21r01a6629,cmrit25_21r01a6629,373,21r01a6629,0,0,21r01a6629,0,deepak_029,1068,21r01a6629,20,14.79%
454,21r01a7247,cmrit25_21r01a7247,0,shadulmohaljnv,0,0,mohammad_shadulla,1412,mohammadshadul,999,,0,14.73%
455,21r01a0466,cmrit25_21r01a0466,562,,0,0,,0,vyshu_18,436,,0,14.63%
456,21r01a7223,cmrit25_21r01a7223,355,21r01aewni,0,0,21r01a7223,0,charishna,1068,21r01a7223,42,14.62%
457,21r01a6639,cmrit_21r01a6639,353,21r01aypux,0,24,cmrit_21r01a6639,0,udaycharan6639,947,21r01a6639,55,14.6%
458,21r01a7203,21r01a7203,0,21r01a7203,0,0,21r01a7203,1408,cmr21r01a7203,950,21r01a7203,20,14.59%
459,21r01a7232,cmrit25_21r01a7232,384,21r01a7232,0,0,jaddu_deviram,0,cmr_21r01a7232,1002,21r01a7232,5,14.47%
460,21r01a05p6,,0,21r01a05p6,0,7,21r01a05p6,1350,nainika_215p6,920,21r01a05p6,40,14.43%
461,21r01a05c8,cmrit25_21r01a05c8,355,21r01anhzo,0,0,shanmukh2410,0,shanmukh2410,923,21r01a05c8,106,14.33%
462,21r01a0475,21r01a0475,0,krupakarreddy,0,0,21r01a0475,1409,cmr_21r01a0475,913,21r01a0475,10,14.26%
463,21r01a67e8,21r01a67e8,423,21r01a67e8,0,9,21r01a67e8,0,joseph1820,559,21r01a67e8,159,14.23%
464,22r05a0522,cmrit25_22r05a0522,356,,0,0,,0,sunny522,998,22r05a0522,45,14.23%
465,21r01a04d9,cmrit25_21r01a04d9,378,cbhavaniprasad,0,0,21r01a04d9,0,bunnyy22,931,21r01a04d9,29,14.12%
466,21r01a0457,cmrit25_21r01a0457,572,21r01a0457,0,17,21r01a0457,0,21r01a0457,0,21r01a0457,161,14.11%
467,21r01a05c2,cmrit25_21r01a05c2,380,cmr_21r01a05c2,20,0,21r01a05c2,0,sravanikumari,754,21r01a05c2,20,14.06%
468,21r01a05m6,cmrit25_21r01a05m6,348,21r01acr0e,0,0,21r01a05m6,0,r01a05m6,1012,21r01a05m6,20,13.91%
469,22r05a0409,cmrit25_22r05a0409,377,,0,0,22ro5ao409,0,ravi22ro5ao409,752,22r05a0409,124,13.89%
470,21r01a67a5,adithya25,372,,0,0,adithyaa5,0,adithya_a5,951,,0,13.84%
471,21r01a6637,,0,,0,0,21r01a6637,1442,y21r01a6637,811,21r01asema,0,13.72%
472,22r05a0418,cmrit25_22r05a0418,348,22r05a0418megha,0,0,22r05a0418,0,meghana48,921,22r05a0418,59,13.71%
473,21r01a05d4,21r01a05d4,348,21r01a05d4,10,18,21r01a05d4,0,bhavana00,807,21r01a05d4,20,13.66%
474,21r01a6786,cmrit25_21r01a6786,361,21r01a6786,0,0,21r01a6786,0,premsai1029,888,21r01a6786,10,13.31%
475,21r01a6797,cmrit25_21r01a6797,357,21r01alizy,0,0,bhagirao,0,bhagirathrao,878,21r01a6797,10,13.16%
476,21r01a0483,cmrit25_21r01a0483,350,keerthanasg3,0,0,keerthana_sg,0,keerthanasg3,864,,0,12.83%
477,21r01a0426,cmrit25_21r01a0426,0,21r01a0426,18,0,cmrit25_21r01a0426,0,r01a0426,956,21r01a0426,603,12.78%
478,21r01a66j2,r01a66j2,0,21r01a66j2,39,0,21r01a66j2,1458,21r01a66j2,0,21r01a66j2,179,12.57%
479,21r01a05r7,21r01a05r7cse,569,cmrit_21r01a05r7,0,15,21r01a05r7,0,cmr21r01a05r7,0,yerranagulaanusha21r01a05r7,0,12.45%
480,22r05a7306,22r05a7306,575,22r05acyc5,0,10,22r05a7306,0,praveen_kuchi,0,praveenkumarkuchi,0,12.44%
481,21r01a6770,21r01a6770,568,,0,0,21r01a6770,0,cmrit2025_21r01a6770,0,21r01a6770,35,12.35%
482,21r01a05q5,alshay5q5,359,21r01a05q5,0,5,akshay5q5,0,akshay5q5,701,21r01a05q5,15,12.28%
483,21r01a6780,21r01a6780,572,,0,0,,0,21r01a6780,0,,0,12.1%
484,21r01a0456,cmrit25_21r01a0456,0,21r01a0456,0,29,21r01a0456,0,anjaneyulu7_4,1020,21r01a0456,460,11.62%
485,21r01a7356,21r01a7356,0,21r01a7356,10,25,21r01a7356,0,cmr_21r01a7356,1377,21r01a7356,108,10.92%
486,21r01a05g8,21r01a05g8,468,21r01a05g8,0,30,,0,cmr_21r01a05g8,0,21r01a05g8,18,10.9%
487,21r01a0458,prasad58,0,21r01a0458,30,11,21r01a0458,0,prasad71,1122,21r01a0458,167,10.59%
488,21r01a7357,21r01a7357,0,21r01ara1p,0,43,21r01a7357,0,cmr21r01a7357,1177,21r01a7357,200,10.49%
489,21r01a0460,21r01a0460,357,21r01a0460,0,29,indhu_24,0,indhu_24,0,21r01a0460,171,9.99%
490,21r01a05l0,,0,21r01a05l0,0,3,manognakumar,0,manognakumar,1467,21r01a05l0_manu,55,9.83%
491,21r01a7322,21r01a7322,0,21r01a7322,0,0,21r01a7322,1430,ramya_7322,0,21r01a7322,125,9.76%
492,21r01a67d4,,0,21r01a67d4,0,0,21r01a67d4,1411,cmr_21r01a67d4,0,21r01a67d4,107,9.47%
493,21r01a67j2,21r01a67j2,421,21r01aud18,10,0,,0,anirudh27,0,,0,9.45%
494,21r01a04a9,,0,pillisanjay,0,0,sanjay,1571,pillisanjay,0,21r01ao4a9,0,9.4%
495,21r01a6739,,0,21r01ali3f,30,0,21r01a6739,0,ali39,1213,21r01a6739,15,9.4%
496,21r01a67h8,cmrit25_21r01a67h8,0,21r01a2ifu,0,5,bhavya67h8,0,bhavya67h8,1285,21r01a67h8,122,9.38%
497,21r01a67f0,21r01a67f0,0,21r01a67fo,29,9,21r01a67f0,0,harish_52,1081,21r01a67f0,78,9.37%
498,21r01a6686,cmr_21r01a6686,0,21r01a5xsm,40,0,csm_21r01a6686,0,cmr_21r01a6686,1084,21r01a6686,30,9.28%
499,21r01a0478,,0,21r01a0478,0,0,21r01a0478,1424,21r01a0478,0,21r01a0478,60,9.1%
500,22r05a0405,cmrit25_22r05a0405,0,22r05a0405,0,11,22r05a0405,0,cmr_22r05a0405,1154,22r05a0405,160,9.09%
501,21r01a05a8,,0,21r01a05a8,10,8,21r01a05a8,0,pallavi2004,1149,21r01a05a8,112,9.06%
502,22r05a6601,,0,dinesh,0,0,dinesh,1507,dinesh,0,dineshbathula,0,9.02%
503,21r01a67h0,21r01a67h0,348,21r01a67h0,20,0,21r01a67h0,0,rahuloddepally,0,21r01a67h0,55,8.98%
504,21r01a0432,cmrit25_21r01a0432,0,21r01a0432,10,6,sanjaymallikarjuna28,0,sanjuz16,1235,21r01a0432,50,8.95%
505,21r01a6613,,0,21r01a98ql,0,12,21r01a6613,0,sheershitha_77,1091,21r01a6613,167,8.79%
506,21r01a66j3,cmrit25_21r01a66j3,361,21r01a66j3,0,10,21r01a66j3,0,cmrit25_21r01a66j3,0,cmrit_21r01a66j3,85,8.73%
507,21r01a05b3,,0,,0,0,pavanipuja,0,pavanipuja,1099,21r01a05b3,186,8.69%
508,21r01a0413,cmrit25_21r01a0413,382,21r01a0413,0,0,anusha,0,21r01a0413,0,21r01a0413,60,8.66%
509,21r01a0570,cmrit_21r01a0570,0,21r01a0570,26,4,21r01a0570,0,shreya_1_17,1085,21r01a0570,15,8.49%
510,21r01a04d2,21r01a04d2,0,21r01a04d2,0,2,21r01a04d2,0,akshith4d2,993,21r01a04d2,228,8.48%
511,22r05a7305,22r05a7305,360,22r05a7305,0,0,22r05a7305,0,22r05a7305,0,22r05a7305,90,8.48%
512,22r05a7304,nagendra7304,355,22r05a29c2,0,17,22r05a7304,0,nagendra7304,0,22r05a7304,50,8.46%
513,21r01a66d4,cmrit25_21r01a66d4,0,21r01amda7,0,14,cmr_21r01a66d4,0,cmr_21r01a66d4,1183,21r01a66d4,65,8.44%
514,21r01a0494,,0,21r01a0494@vamshi,0,0,21r01a0494,1410,21r01a0494@vamshi,0,21r01a0494@vamshi,0,8.44%
515,21r01a0575,,0,21r01aauhx,0,0,21r01a0575,0,chakri26,1170,21r01a0575,110,8.41%
516,21r01a04e9,cmrit25_21r01a04e9,0,21r01a04e9,0,0,21r01a04e9,0,r01a04e9,1008,sathwik_17,212,8.37%
517,21r01a7253,cmrit25_21r01a7253,372,gouthami,0,7,21r01a7253,0,gouthami,0,21r01a7253,25,8.3%
518,21r01a05c5,cmrit25_21r01a05c5,0,21r01a05c5,10,9,cmrit25_21r01a05c5,0,v_sruthi20,997,21r01a05c5,120,8.21%
519,21r01a0449,,0,,0,0,,0,sumanth_49,1231,21r01a0449,49,8.2%
520,21r01a7344,21r01a7344,0,21r01aordp,0,12,21r01a7344,0,cmr_21r01a7344,1183,21r01a7344,45,8.19%
521,21r01a67d2,,0,21r01a67d2,0,0,21r01a67d2,0,cmr_21r01a67d2,1289,21r01a67d2,7,8.16%
522,21r01a05j8,cmrit25_21r01a05j8,0,21r01aq09q,30,0,21r01a05j8lt,0,tevinj8,1038,hckrj8,0,8.16%
523,21r01a66c9,cmrit25_21r01a66c9,0,likhith_1216,0,0,likhith_1216,0,likhith_1216,1292,likhith_1216,0,8.12%
524,21r01a6718,,0,,0,0,,0,kousthub2003,1250,gkousthub,25,8.09%
525,22r05a0408,gangireddy9,0,22r05a7p6r,0,0,22r05a0408,0,cmr_22r05a0408,1209,22r05a0408,50,8.07%
526,21r01a0596,21r01a0596,0,21r01avr1q,0,5,21r01a0596,0,r01a0596,1158,21r01a0596,62,8.01%
527,21r01a0511,21r01a0511,359,21r01ae5x9,0,0,,0,,0,21r01a0511,38,7.96%
528,21r01a67d3,cmrit25_21r01a67d3,362,cmrit_21r01a67d3,0,11,cmrit_21r01a67d3,0,cmrit_21r01a67d3,0,cmrit_21r01a67d3,0,7.96%
529,21r01a04n1,21r01a04n1,347,21r01a05e9,0,4,aaishwarya_11,0,a21r01a4n1,0,21r01a04n1,52,7.95%
530,21r01a04r5,cmrit_21r01a04r5,348,21r01a04r5,0,0,21r01a04r5,0,chanduthunga,0,21r01a04r5,58,7.92%
531,22r05a6715,,0,22r05a6715,0,0,,0,bhavana6715,1120,22r05a6715,89,7.89%
532,21r01a05f3,cmrit25_21r01a05f3,0,21r01a05f3,0,25,21r01a05f3,0,cmr_21r01a05f3,965,21r01a05f3,119,7.89%
533,21r01a04f7,cmrit25_21r01a04f7,0,21r01a04f7,0,0,21r01a04f7,0,bindu_f7,869,21r01a04f7,253,7.89%
534,21r01a0594,shivasai_03,0,kondabattulaojvq,0,0,kondabattulashivasai143,0,shivasai_28,1255,cse_21r01a0594,0,7.88%
535,21r01a0408,,0,,0,0,,0,s_21r01a0408,1131,21r01a0408,79,7.86%
536,21r01a67e4,ganeshe4,0,ganeshe4,0,0,,0,cmr_21r01a67e4,1251,ganeshe4,0,7.86%
537,21r01a66j0,,0,raghavva5ljf,0,0,raghav-k,0,raghavk30,1250,21r01a66j01,0,7.85%
538,21r01a05m0,saitejareddy,0,saitejareddy,0,283,saitejareddy,0,saitejareddy,0,21r01a05m0,10,7.85%
539,21r01a05n9,21r01a05n9,350,21r01a05n9,0,12,21r01a05n9,0,manohar1012,0,21r01a05n9,10,7.83%
540,21r01a04g2,cmrit25_21r01a04g2,0,21r01a04g2,0,0,k.pranavi,0,pranavi_27,890,21r01a04g2,230,7.8%
541,21r01a0435,,0,cmrit_21r01a0435,0,0,cmrit_21r01a0435,0,cmr_21r01a0435,1239,cmrit_21r01a0435,0,7.78%
542,21r01a05a2,cmrit25_21r01a05a2,0,21r01a05a2,0,0,21r01a05a2,0,s21ro1ao5a2,1091,21r01a05a2,95,7.77%
543,21r01a6728,cmrit25_21r01a6728,0,,0,0,21r01a6728,0,saipriya2003,1182,21r01a6728,35,7.76%
544,21r01a0587,,0,21r01a0587,0,0,deekshith_87,0,deekshith_587,1226,21r01a0587,0,7.7%
545,21r01a6704,cmrit25_21r01a6704,0,,0,0,,0,mahi6704,1103,21r01a6704,80,7.7%
546,21r01a7353,cmrit25_21r01a7353,0,21r01a7353,0,23,21r01a7353,0,hain21r01a7353,736,21r01a7353,254,7.69%
547,21r01a0453,cmrit25_21r01a0453,0,,0,0,21r01a0453,0,hanvitha_10,1069,21r01a0453,101,7.69%
548,21r01a05f8,cmrit25_21r01a05f8,0,21r01ao5f8,10,15,21r01a05f8,0,abhiram5f8,1047,21r01a05f8,15,7.68%
549,21r01a04e7,cmrit25_21r01a04e7,362,udaygudala,0,0,udaygudala,0,udaygudala,0,udaygudala,0,7.66%
550,21r01a7355,,0,,0,0,,0,mesiddhartharl,1219,me_siddhartharl,0,7.66%
551,22r05a6720,,0,22r05a6720,0,0,srilaxmi20,0,srilaxmi20,1154,22r05a6720,42,7.65%
552,21r01a0434,cmrit25_21r01a0434,0,,0,0,21r01a0434,0,akshu66,1007,21r01a0434,137,7.64%
553,21r01a7326,cmrit25_21r01a7326,361,21r01a7326,0,0,21r01a7326,0,21r01a7326,0,21r01a7326,0,7.64%
554,22r05a6719,,0,22r05a6719,0,0,22r05a6719,0,prashanth0023,1193,22r05a6719,10,7.59%
555,21r01a0440,,0,21r01auz8t,0,0,21r01a0440,0,chanduja_21r01,1199,,0,7.53%
556,22r05a6717,cmrit25_22r05a6717,0,22r05afiff,0,0,22r05a6717,0,vishnu717,1161,22r05a6717,22,7.5%
557,21r01a04r6,cmrit25_21r01a04p6,354,,0,0,,0,,0,,0,7.49%
558,21r01a6706,,0,,0,0,,0,dilipkumar970,1180,bonagiridilipku1,8,7.49%
559,22r05a0524,,0,22r05atpli,0,5,22r05a0524,0,shivani524,1100,22r05a0524,45,7.48%
560,21r01a05l3,,0,21r01a05l3,10,2,21r01a05l3,0,viswas14,1089,21r01a05l3,0,7.44%
561,21r01a04l4,cmrit25_21r01a04l4,0,21r01a04l4,0,0,21r01a04l4,0,yella04l4,1068,21r01a04l4,67,7.35%
562,21r01a6763,,0,,0,0,,0,srija_reddie16,1169,,0,7.34%
563,21r01a05c1,cmrit25_21r01a05c1,0,21r01a05c1,0,0,vaishnav_c1,0,vaishanv_c1,1167,21r01a05c1,0,7.33%
564,21r01a7249,ace_22,0,ace2207,0,0,kamal_mudiraj_,0,ace_223,1167,ace_22.,0,7.33%
565,21r01a6644,,0,21r01aozhy,10,0,s21r01a6644,0,s21r01a6644,1079,21r01a6644,0,7.32%
566,21r01a6737,cmrit25_21r01a6737,0,21r01a6737,0,0,bhavana_6737,0,bhavana_6737,1115,21r01a6737,30,7.29%
567,22r05a0516,m.vamshi22r05a0516,0,22r05a0516,0,0,22r05a0516,0,vamshi9989,1160,,0,7.29%
568,21r01a05q2,,0,,0,0,,0,mahendra45,1153,mahendra5q2,0,7.24%
569,21r01a7256,cmrit_21r01a7256,0,21r01a7256,0,0,21r01a7256,0,r01a7256,1140,21r01a7256,5,7.21%
570,21r01a04b3,21r01a04b3,0,@spandana,0,0,spandana,0,spandana63,1076,21r01a04b3,45,7.19%
571,21r01a0573,,0,datta73,0,0,datta73,0,datta73,1143,21r01a0573,0,7.18%
572,21r01a0419,cmrit25_21r01a0419,0,21r01a0419,0,0,21r01a0419,0,ganesh0_2,1019,21r01a0419,77,7.14%
573,21r01a6609,,0,21r01abvpo,0,0,21r01a669,0,a21r01a6609,976,21r01a6609,105,7.14%
574,21r01a6742,chandana_200,0,,0,0,,0,manichandana20,1102,21r01a6742,20,7.11%
575,21r01a6654,,0,21r01a7zg7,0,4,kitu_4414,0,saikrishna414,1098,21r01a6654,10,7.1%
576,21r01a7257,vaishnavi_017,0,21r01ax608,0,0,vaishnavisingireddy,0,vaishnavisingi,1101,vaishnavisingir1,19,7.1%
577,22r05a0414,,0,santhosh_630,0,0,,0,sai_630,1128,22r05a0414,0,7.09%
578,21r01a0555,,0,21r01a0555,0,0,,0,sanju_555,1120,21r01a0555,5,7.08%
579,21r01a05b0,21r01a05b0,0,21r01a05b0,0,0,21r01a05b0,0,surabhi_nanda,1030,21r01a05b0,62,7.07%
580,21r01a04k1,cmrit_21r01a04k1,0,21r01a04k1,0,17,21r01a04k1,0,pranaykumar22,868,21r01a04k1,117,7.04%
581,21r01a0455,,0,21r01aakaq,10,2,cmr_21r01a0455,0,cmr_21r01a0455,1025,,0,7.04%
582,21r01a0401,,0,21r01asn26,0,0,,0,a21r01a0401,1027,21r01a0401,60,7.03%
583,21r01a6713,,0,,0,0,,0,sahithya04,1118,,0,7.02%
584,22r05a0415,cmrit_22r05a0415,0,,0,0,,0,yamini319,986,22r05a0415,84,7%
585,21r01a7224,cmrit25_21r01a7224,0,21r01arg58,20,0,21r01a7224,0,nikitha7224,896,21r01a7224,25,6.96%
586,21r01a0446,akhilperala,0,21r01a0446,0,0,21r01a0446,0,akhilperala,1069,cmrit_21r01a0446,25,6.95%
587,21r01a0433,cmrit25-21r01a0433,0,21r01a0433,10,2,manojkumar25_,0,manojkumar_25,978,21r01a0433,20,6.94%
588,21r01a04j0,cmrit_21r01a04j0,0,,0,0,21r01a04j0,0,sharathraju,834,21r01a04j0,176,6.93%
589,22r05a0407,cmrit25_22r05a0407,0,,0,0,,0,cmr22r05a0407,996,22r05a0407,67,6.9%
590,21r01a7241,cmrit25_21r01a7241,0,21r01ak3qo,0,1,,0,r01a7241,843,21r01a7241,164,6.9%
591,21r01a7220,cmrit25_21r01a7220,0,21r01a7220,0,0,cmr_21r01a7220,0,cmr_21r01a7220,1091,21r01a7220,0,6.85%
592,21r01a67d0,,0,21r01abd8o,0,0,21r01a67d0,0,h21r01a67d0,1077,,0,6.77%
593,21r01a6750,shivabalajirongala,0,shivabalajvywn,10,2,shivabalaji,0,shivabalaji96,954,21r01a6750shiva,17,6.76%
594,21r01a67j1,cmrit25_21r01a67j1,0,21r01a67j1,0,0,21r01a67j1,0,cmr_21r01a67j1,1072,cmr_21r01a67j1,0,6.73%
595,21r01a0490,21r01a0490,0,21r01afled,0,0,21r01a0490,0,mani40,978,21r01a0490,60,6.72%
596,21r01a0540,21r01a0540,0,21r01agbwd,0,0,21r01a0540,0,pramodreddy78,1020,21r01a0540,26,6.66%
597,21r01a7231,cmrit_21r01a7231,0,21r01a7231,0,0,21r01a7231,0,sneha_7231,1014,21r01a7231,27,6.63%
598,21r01a0448,cmrit2025_21r01a0448,0,,0,0,sanjana_0448,0,cmr21r01a0448,1055,sanjana21r01a0448,0,6.63%
599,21r01a05c6,,0,21r01a05c6,0,0,21r01a05c6,0,mani_shankar,1053,21r01a05c6,0,6.61%
600,21r01a6730,,0,,0,0,srikesh_30,0,srikesh30q,1047,,0,6.58%
601,21r01a05p9,21r01a05p9,0,21r01ae9yw,0,0,21r01a05p9,0,hari05p9,970,21r01a05p9,50,6.57%
602,21r01a0581,cmrit25_21r01a0581,0,21r01a3aac,0,0,21r01a0581,0,akarsh99,1041,21r01a0581,0,6.54%
603,21r01a6702,,0,,0,0,,0,deekshithardy,1033,deekshithardy,0,6.49%
604,21r01a7250,cmrit25_21r01a7250,0,21r01a7250,0,9,21r01a7250,0,adarsha_630,796,21r01a7250,128,6.48%
605,21r01a04h9,cmrit25_21r01a04h9,0,,0,0,21r01a04h9,0,adithya_h9,962,21r01a04h9,45,6.47%
606,21r01a04l9,21r01a04l9,0,21r01a04l9,0,0,koushik_04l9,0,koushik_4l9,990,cmrit_21r01a04l9,25,6.46%
607,21r01a04f3,n21r01a04f3,0,21r01a04f3,0,0,21r01a04f3,0,n21r01a04f3,1027,21r01a04f3,0,6.45%
608,21r01a66a7,,0,21r01ahd2u,0,15,21r01a66a7,0,nnithin,778,21r01a66a7,120,6.45%
609,21r01a05m8,cmrit25_21r01a05m8,0,21r01a05m8,0,0,21r01a05m8,0,sahithi_136,975,21r01a05m8,30,6.41%
